script,issues
LatinGreekCyrillic,155
Arabic,48
Myanmar,35
Monospace,30
UNLABELED,26
Symbol,24
Tibetan,23
Devanagari,16
Syriac,14
Hebrew,13
OldHungarian,12
Grantha,12
Chakma,11
Kharoshthi,11
Urdu,11
Gujarati,11
Modi,10
Javanese,10
Math,10
