script,issues
LatinGreekCyrillic,162
Arabic,46
Myanmar,36
Monospace,32
Symbol,28
Tibetan,23
Devanagari,19
Hebrew,15
Syriac,15
Math,14
Nastaliq,14
Balinese,12
Javanese,11
Gujarati,11
Khmer,11
Kharoshthi,11
Urdu,11
Thai,10
Modi,10
