script,issues
LatinGreekCyrillic,165
Myanmar,36
Monospace,34
Arabic,33
Symbol,30
Devanagari,18
UNLABELED,17
Tibetan,16
Balinese,14
Math,14
Hebrew,13
Nastaliq,12
Gujarati,12
Javanese,11
Syriac,11
Thai,10
Modi,10
Tirhuta,10
