script,issues
LatinGreekCyrillic,161
Arabic,46
Myanmar,36
Monospace,32
Symbol,28
Tibetan,23
Devanagari,19
Syriac,15
Hebrew,15
Math,14
Balinese,12
Khmer,11
Urdu,11
Javanese,11
Kharoshthi,11
Gujarati,11
Nastaliq,11
Thai,10
Modi,10
