script,issues
LatinGreekCyrillic,152
Arabic,48
Myanmar,35
Monospace,30
Symbol,24
Tibetan,23
Devanagari,16
Syriac,14
Hebrew,14
Grantha,12
Gujarati,11
Urdu,11
Kharoshthi,11
Chakma,11
Modi,10
Javanese,10
Math,10
