script,issues
LatinGreekCyrillic,152
Arabic,48
Myanmar,36
Monospace,30
Symbol,25
Tibetan,23
Hebrew,16
Devanagari,16
Syriac,14
Grantha,12
Chakma,11
Urdu,11
Math,11
Gujarati,11
Kharoshthi,11
Modi,10
Javanese,10
