script,issues
LatinGreekCyrillic,160
Arabic,45
Myanmar,36
Monospace,32
Symbol,25
Tibetan,23
Devanagari,17
Hebrew,15
Syriac,15
Nastaliq,11
Math,11
Javanese,11
Khmer,11
Gujarati,11
Kharoshthi,11
Urdu,11
Chakma,10
Modi,10
Balinese,10
Thai,10
