script,issues
LatinGreekCyrillic,160
Arabic,46
Myanmar,36
Monospace,32
Symbol,26
Tibetan,23
Devanagari,18
Syriac,15
Hebrew,15
Math,13
Balinese,12
Urdu,11
Kharoshthi,11
Javanese,11
Khmer,11
Gujarati,11
Nastaliq,11
Thai,10
Modi,10
