script,issues
LatinGreekCyrillic,160
Arabic,45
Myanmar,36
Monospace,32
Symbol,25
Tibetan,23
Devanagari,17
Hebrew,15
Syriac,14
Math,11
Gujarati,11
Nastaliq,11
Kharoshthi,11
Urdu,11
Khmer,10
Chakma,10
Thai,10
Javanese,10
Modi,10
