script,issues
LatinGreekCyrillic,156
Arabic,44
Myanmar,36
Monospace,32
Symbol,25
Tibetan,23
Hebrew,16
Devanagari,16
Syriac,14
Kharoshthi,11
Chakma,11
Gujarati,11
Urdu,11
Math,11
Modi,10
Nastaliq,10
Javanese,10
