script,issues
LatinGreekCyrillic,166
Arabic,46
Myanmar,36
Monospace,33
Symbol,28
Tibetan,23
Devanagari,19
Hebrew,16
Syriac,15
Nastaliq,15
Math,14
Balinese,12
Javanese,11
Gujarati,11
Kharoshthi,11
Khmer,11
Urdu,11
Modi,10
