script,issues
LatinGreekCyrillic,157
Arabic,48
Myanmar,35
Monospace,30
UNLABELED,25
Symbol,24
Tibetan,23
Devanagari,16
Syriac,14
Hebrew,13
OldHungarian,12
Grantha,12
Gujarati,11
Kharoshthi,11
Urdu,11
Chakma,11
Math,10
Modi,10
Javanese,10
