script,issues
LatinGreekCyrillic,160
Arabic,45
Myanmar,36
Monospace,32
Symbol,25
Tibetan,23
Devanagari,16
Hebrew,15
Syriac,14
Gujarati,12
Math,11
Kharoshthi,11
Nastaliq,11
Urdu,11
Javanese,10
Modi,10
Chakma,10
UNLABELED,10
Thai,10
