date,created,closed,still-open
2015-06-01,399,269,130
2015-07-01,440,303,137
2015-08-01,489,321,168
2015-09-01,524,336,188
2015-10-01,542,355,187
2015-11-01,576,376,200
2015-12-01,602,398,204
2016-01-01,613,407,206
2016-02-01,630,414,216
2016-03-01,659,437,222
2016-04-01,672,440,232
2016-05-01,705,448,257
2016-06-01,719,456,263
2016-07-01,726,457,269
2016-08-01,737,459,278
2016-09-01,751,469,282
2016-10-01,783,486,297
2016-11-01,799,510,289
2016-12-01,818,531,287
2017-01-01,829,551,278
2017-02-01,856,561,295
2017-03-01,886,577,309
2017-04-01,907,596,311
2017-05-01,930,605,325
2017-06-01,941,610,331
2017-07-01,954,614,340
2017-08-01,960,619,341
2017-09-01,970,631,339
2017-10-01,993,639,354
2017-11-01,1005,651,354
2017-12-01,1022,655,367
2018-01-01,1038,661,377
2018-02-01,1055,661,394
2018-03-01,1119,672,447
2018-04-01,1166,673,493
2018-05-01,1204,674,530
2018-06-01,1239,678,561
2018-07-01,1264,682,582
2018-08-01,1274,684,590
2018-09-01,1313,688,625
2018-10-01,1364,694,670
2018-11-01,1396,695,701
2018-12-01,1418,745,673
2019-01-01,1430,746,684
2019-02-01,1462,753,709
2019-03-01,1476,765,711
2019-04-01,1497,772,725
2019-05-01,1517,792,725
2019-06-01,1543,808,735
2019-07-01,1565,812,753
2019-08-01,1571,816,755
2019-09-01,1582,818,764
2019-10-01,1602,825,777
2019-11-01,1620,838,782
2019-12-01,1643,839,804
2020-01-01,1670,845,825
2020-02-01,1671,846,825
2020-03-01,1688,860,828
2020-04-01,1729,861,868
2020-05-01,1760,880,880
2020-06-01,1783,934,849
2020-07-01,1798,1023,775
2020-08-01,1836,1046,790
2020-09-01,1869,1067,802
2020-10-01,1911,1093,818
2020-11-01,1924,1118,806
2020-12-01,1971,1145,826
2021-01-01,1994,1175,819
2021-02-01,2013,1206,807
2021-03-01,2047,1235,812
