script,issues
LatinGreekCyrillic,153
Arabic,46
Myanmar,36
Monospace,30
Symbol,25
Tibetan,23
Devanagari,16
Hebrew,16
Syriac,14
Grantha,13
Math,11
Gujarati,11
Kharoshthi,11
Chakma,11
Urdu,11
Modi,10
Javanese,10
