,number,closed,created,closedAt,openedBy,labels
0,2096,True,2021-06-06 18:13:33+00:00,2021-06-06 19:51:59+00:00,davelab6,*add to FAQ or documentation
1,2095,True,2021-06-03 05:46:47+00:00,2021-06-06 09:33:51+00:00,AxaultSystems,
2,2094,False,2021-06-02 11:59:17+00:00,,MattMayuga,"Italic,Type-Enhancement"
3,2093,False,2021-06-01 09:27:18+00:00,,julifos,
4,2092,False,2021-05-31 22:44:22+00:00,,RodneyAraujo,"Platform-Windows,Script-Arabic,app-dependent-behavior"
5,2091,False,2021-05-28 23:57:53+00:00,,dscorbett,Script-LatinGreekCyrillic
6,2090,False,2021-05-22 10:14:03+00:00,,cibu,Script-Malayalam
7,2089,True,2021-05-22 08:15:40+00:00,2021-05-31 16:28:11+00:00,sridatta1,Script-Grantha
8,2088,False,2021-05-21 01:37:11+00:00,,dscorbett,Script-PahawhHmong
9,2087,False,2021-05-18 12:40:30+00:00,,moyogo,Script-LatinGreekCyrillic
10,2086,False,2021-05-16 15:53:17+00:00,,vvasuki,Script-Kannada
11,2085,True,2021-05-06 15:40:09+00:00,2021-05-14 17:43:55+00:00,ebraminio,Script-Arabic
12,2084,True,2021-05-06 13:00:13+00:00,2021-05-14 15:38:29+00:00,ryuran,
13,2083,False,2021-05-06 04:03:47+00:00,,soshial,"Script-Armenian,Script-Georgian,Type-Enhancement"
14,2081,False,2021-05-05 10:40:39+00:00,,twardoch,"Noto-Process-Issue,Script-Tamil"
15,2080,False,2021-05-02 08:00:11+00:00,,mandel59,Script-Siddham
16,2079,True,2021-05-02 04:19:14+00:00,2021-05-04 16:48:22+00:00,nizarsq,"Naskh,Script-Arabic"
17,2078,True,2021-05-02 03:54:08+00:00,2021-05-04 16:48:22+00:00,nizarsq,"Naskh,Script-Arabic"
18,2077,True,2021-05-01 18:57:35+00:00,2021-05-04 16:48:22+00:00,nizarsq,"Naskh,Script-Arabic"
19,2076,False,2021-04-30 08:02:35+00:00,,Binary-Hazard,Script-Symbol
20,2075,True,2021-04-26 02:38:48+00:00,2021-05-04 16:48:22+00:00,nizarsq,"Naskh,Script-Arabic"
21,2074,False,2021-04-25 13:11:28+00:00,,davelab6,Script-Coptic
22,2073,False,2021-04-25 00:28:44+00:00,,berrymot,Component-Website
23,2072,False,2021-04-21 12:06:55+00:00,,collimarco,"Component-Website,WebFonts"
24,2071,False,2021-04-19 07:51:12+00:00,,Binary-Hazard,Component-wiki-info
25,2070,True,2021-04-19 04:52:47+00:00,2021-05-14 17:43:05+00:00,nizarsq,"Naskh,Script-Arabic"
26,2069,True,2021-04-19 01:10:39+00:00,2021-05-04 16:48:21+00:00,nizarsq,"Naskh,Script-Arabic"
27,2068,True,2021-04-17 19:51:26+00:00,2021-05-04 16:48:21+00:00,nizarsq,"Naskh,Script-Arabic"
28,2067,False,2021-04-15 20:16:08+00:00,,dscorbett,Script-Hebrew
29,2066,False,2021-04-15 07:32:06+00:00,,moyogo,"Platform-Windows,Script-LatinGreekCyrillic,Script-Manichaean,Script-Math,Script-Mongolian,Script-Myanmar,Script-Phagspa"
30,2065,False,2021-04-12 19:39:25+00:00,,davelab6,Script-OldHungarian
31,2064,False,2021-04-11 19:52:12+00:00,,Kanjilearner817,"Rashi,Script-Hebrew"
32,2063,True,2021-04-11 14:14:39+00:00,2021-04-12 19:36:10+00:00,rovasinfo,
33,2062,False,2021-04-11 05:32:07+00:00,,moyogo,Script-LatinGreekCyrillic
34,2061,True,2021-04-10 17:40:04+00:00,2021-04-12 19:36:34+00:00,rovasinfo,
35,2060,True,2021-04-08 20:22:18+00:00,2021-04-09 01:44:13+00:00,soheilkhanalipur,"Script-Arabic,Status-NotABug"
36,2059,False,2021-04-07 11:30:16+00:00,,jonpinhorn,Script-Ethiopic
37,2058,False,2021-04-06 15:01:22+00:00,,dscorbett,Script-InscriptionalPahlavi
38,2057,False,2021-04-05 16:16:19+00:00,,dscorbett,Script-InscriptionalPahlavi
39,2056,False,2021-04-04 22:52:32+00:00,,lyndondrake,"Script-Hebrew,Type-Enhancement"
40,2055,False,2021-04-04 16:44:38+00:00,,dscorbett,Script-InscriptionalParthian
41,2054,True,2021-04-03 18:56:20+00:00,2021-04-12 19:36:46+00:00,tamasbartos,Script-OldHungarian
42,2053,False,2021-04-03 15:11:04+00:00,,dscorbett,Script-InscriptionalParthian
