script,issues
LatinGreekCyrillic,154
Arabic,44
Myanmar,36
Monospace,30
Symbol,25
Tibetan,23
Hebrew,16
Devanagari,16
Syriac,14
Math,11
Gujarati,11
Urdu,11
Kharoshthi,11
Chakma,11
Modi,10
Javanese,10
