script,issues
LatinGreekCyrillic,154
Arabic,46
Myanmar,36
Monospace,30
Symbol,25
Tibetan,23
Hebrew,16
Devanagari,16
Syriac,14
Kharoshthi,11
Math,11
Urdu,11
Chakma,11
Gujarati,11
Modi,10
Javanese,10
