script,issues
LatinGreekCyrillic,157
Arabic,44
Myanmar,36
Monospace,32
Symbol,25
Tibetan,23
Devanagari,16
Hebrew,15
Syriac,14
Gujarati,12
Chakma,11
Urdu,11
Math,11
Nastaliq,11
Kharoshthi,11
Javanese,10
Modi,10
