script,issues
LatinGreekCyrillic,152
Arabic,55
Myanmar,36
Monospace,30
Symbol,25
Tibetan,23
Devanagari,16
Hebrew,16
Syriac,14
Grantha,12
Chakma,11
Kharoshthi,11
Math,11
Gujarati,11
Urdu,11
Javanese,10
Modi,10
