script,issues
LatinGreekCyrillic,152
Arabic,52
Myanmar,36
Monospace,30
Symbol,24
Tibetan,23
Hebrew,16
Devanagari,16
Syriac,14
Grantha,12
Gujarati,11
Kharoshthi,11
Math,11
Urdu,11
Chakma,11
Modi,10
Javanese,10
