script,issues
LatinGreekCyrillic,155
Arabic,48
Myanmar,35
Monospace,31
Symbol,24
Tibetan,23
Devanagari,16
Syriac,14
Hebrew,14
OldHungarian,14
Grantha,12
Chakma,11
Kharoshthi,11
Gujarati,11
Urdu,11
Javanese,10
Math,10
Modi,10
